,Date,ticker,price,volume
1432,1/26/2022,MAR,156.9021301,2345800.00
1433,1/27/2022,MAR,151.9399414,2184100.00
1434,1/28/2022,MAR,157.5446625,1930400.00
1435,1/31/2022,MAR,159.2645874,1972100.00
1436,2/1/2022,MAR,161.142746,1755100.00
1437,2/2/2022,MAR,159.0175018,3912500.00
1438,2/3/2022,MAR,160.1443634,2920000.00
1439,2/4/2022,MAR,160.8659363,2204700.00
1440,2/7/2022,MAR,164.1279297,2003300.00
1441,2/8/2022,MAR,169.5745087,2553000.00
1442,2/9/2022,MAR,171.5316925,2100300.00
1443,2/10/2022,MAR,172.6684418,2122100.00
1444,2/11/2022,MAR,167.9237518,2819100.00
1445,2/14/2022,MAR,169.3570404,2675200.00
1446,2/15/2022,MAR,179.1133728,4264300.00
1447,2/16/2022,MAR,181.1496735,3263800.00
1448,2/17/2022,MAR,176.1182556,3356300.00
1449,2/18/2022,MAR,172.9057007,2882400.00
1450,2/22/2022,MAR,171.1264038,2744000.00
1451,2/23/2022,MAR,166.0357361,3494800.00
1452,2/24/2022,MAR,166.8067627,4332700.00
1453,2/25/2022,MAR,172.36203,2805800.00
1454,2/28/2022,MAR,168.1807251,2574400.00
1455,3/1/2022,MAR,163.0109711,2886100.00
1456,3/2/2022,MAR,166.2927246,2159600.00
1457,3/3/2022,MAR,163.5645294,2444900.00
1458,3/4/2022,MAR,157.4458008,2858200.00
1459,3/7/2022,MAR,146.355011,3769100.00
1460,3/8/2022,MAR,151.0305176,4939400.00
1461,3/9/2022,MAR,157.633606,3509600.00
1462,3/10/2022,MAR,160.6880341,2573300.00
1463,3/11/2022,MAR,159.7786407,2316300.00
1464,3/14/2022,MAR,159.8972168,1917600.00
1465,3/15/2022,MAR,164.4838104,2297300.00
1466,3/16/2022,MAR,170.3059692,2300300.00
1467,3/17/2022,MAR,169.2680817,1582300.00
1468,3/18/2022,MAR,169.2186432,3542300.00
1469,3/21/2022,MAR,167.9929199,1770400.00
1470,3/22/2022,MAR,168.6057892,2004100.00
1471,3/23/2022,MAR,165.7194061,2709100.00
1472,3/24/2022,MAR,169.9995422,1795800.00
1473,3/25/2022,MAR,169.5448456,1427600.00
1474,3/28/2022,MAR,169.5843964,1215600.00
1475,3/29/2022,MAR,176.2665558,2200900.00
1476,3/30/2022,MAR,174.4180908,2285200.00
1477,3/31/2022,MAR,173.7261505,2368900.00
1478,4/1/2022,MAR,171.6799622,1900400.00
1479,4/4/2022,MAR,172.6387939,1394900.00
