,Date,ticker,price,volume
9848,9/6/17,RCL,111.0937653,2073800
9849,9/7/17,RCL,109.8970032,1535400
9850,9/8/17,RCL,109.8128662,2059700
9851,9/11/17,RCL,113.777153,2056900
9852,9/12/17,RCL,113.7491226,1418200
9853,9/13/17,RCL,114.2446442,1202600
9854,9/14/17,RCL,115.5162277,2030800
9855,9/15/17,RCL,113.0572281,2624300
9856,9/18/17,RCL,111.0750809,1514500
9857,9/19/17,RCL,110.8132935,1446200
9858,9/20/17,RCL,108.0270615,2812600
9859,9/21/17,RCL,109.201889,2290600
9860,9/22/17,RCL,108.3559875,1490900
9861,9/25/17,RCL,107.0308151,2098500
9862,9/26/17,RCL,110.1417313,2414300
9863,9/27/17,RCL,108.7789383,1805400
9864,9/28/17,RCL,111.1003799,2088500
9865,9/29/17,RCL,111.4105453,1743900
9866,10/2/17,RCL,111.9556503,1617500
9867,10/3/17,RCL,111.842865,1151300
9868,10/4/17,RCL,114.3522949,1694100
9869,10/5/17,RCL,116.2226028,1819100
9870,10/6/17,RCL,115.9688492,1076100
9871,10/9/17,RCL,117.0402832,1111300
9872,10/10/17,RCL,117.2940369,1445500
9873,10/11/17,RCL,117.4914169,1579600
9874,10/12/17,RCL,117.4820023,1709400
9875,10/13/17,RCL,120.0854187,1817900
9876,10/16/17,RCL,119.7282715,1231000
9877,10/17/17,RCL,119.5684891,1013600
9878,10/18/17,RCL,117.3692245,1855100
9879,10/19/17,RCL,113.8353729,2822700
9880,10/20/17,RCL,113.4500275,1898100
9881,10/23/17,RCL,114.4180756,1503100
9882,10/24/17,RCL,115.0383911,1340400
9883,10/25/17,RCL,113.9857483,1288000
9884,10/26/17,RCL,115.6586838,1036400
9885,10/27/17,RCL,116.7395325,2192900
9886,10/30/17,RCL,114.6530533,1986600
9887,10/31/17,RCL,116.3259888,1455000
9888,11/1/17,RCL,113.5910187,2091700
9889,11/2/17,RCL,115.686882,2195200
9890,11/3/17,RCL,115.7714767,839800
9891,11/6/17,RCL,117.8015518,2427400
9892,11/7/17,RCL,121.4576111,3568500
9893,11/8/17,RCL,121.1662521,1778700
9894,11/9/17,RCL,119.0515747,2007600
9895,11/10/17,RCL,116.7489166,2426700
9896,11/13/17,RCL,116.9933014,1342000
9897,11/14/17,RCL,116.0816345,1818900
9898,11/15/17,RCL,115.1511536,1038200
9899,11/16/17,RCL,115.4049301,1368600
9900,11/17/17,RCL,116.9180984,1458400
9901,11/20/17,RCL,116.4951706,1009300
9902,11/21/17,RCL,117.2846375,1086500
9903,11/22/17,RCL,117.9049454,819500
9904,11/24/17,RCL,117.6793823,488600
9905,11/27/17,RCL,117.7169647,859300
9906,11/28/17,RCL,118.2339172,1143100
9907,11/29/17,RCL,117.2000504,1062500
9908,11/30/17,RCL,116.4293747,2426900
9909,12/1/17,RCL,117.6981812,1847600
9910,12/4/17,RCL,117.5571976,1626100
9911,12/5/17,RCL,115.4331284,1268000
9912,12/6/17,RCL,115.6211014,1370600
9913,12/7/17,RCL,116.5891495,1298800
9914,12/8/17,RCL,117.6981812,1276100
9915,12/11/17,RCL,117.9049454,902900
9916,12/12/17,RCL,116.3823776,1156100
9917,12/13/17,RCL,114.3710861,1103200
9918,12/14/17,RCL,114.3429031,1418600
9919,12/15/17,RCL,117.5666046,1989200
9920,12/18/17,RCL,118.9669876,2009300
9921,12/19/17,RCL,118.9387817,1270000
9922,12/20/17,RCL,116.6062851,1341300
9923,12/21/17,RCL,114.97258,1346200
9924,12/22/17,RCL,114.3209991,1077900
9925,12/26/17,RCL,113.4899826,638300
9926,12/27/17,RCL,114.4626465,576500
9927,12/28/17,RCL,114.1510086,598700
9928,12/29/17,RCL,112.6400833,924700
9929,1/2/18,RCL,113.6788483,1317400
9930,1/3/18,RCL,116.7007141,2295100
9931,1/4/18,RCL,115.6430664,1118100
9932,1/5/18,RCL,114.4815521,1181900
9933,1/8/18,RCL,114.3493271,1023800
9934,1/9/18,RCL,116.2946548,1191800
9935,1/10/18,RCL,116.2096558,1015000
9936,1/11/18,RCL,118.4288635,1297400
9937,1/12/18,RCL,120.4308395,1523800
9938,1/16/18,RCL,119.6942596,1340300
9939,1/17/18,RCL,122.9616547,1754400
9940,1/18/18,RCL,122.1212006,1328400
9941,1/19/18,RCL,121.7906799,1445500
9942,1/22/18,RCL,121.5357056,1738100
9943,1/23/18,RCL,120.1380997,2094500
9944,1/24/18,RCL,125.133606,4607300
9945,1/25/18,RCL,124.5858994,2058200
9946,1/26/18,RCL,127.4661179,1569000
9947,1/29/18,RCL,127.267807,1302100
9948,1/30/18,RCL,125.8607483,1379100
9949,1/31/18,RCL,126.1157227,1455600
9950,2/1/18,RCL,125.8890762,1296800
9951,2/2/18,RCL,122.4422684,1416300
9952,2/5/18,RCL,118.3910828,1783600
9953,2/6/18,RCL,120.5536118,1756000
9954,2/7/18,RCL,121.3657227,1761700
9955,2/8/18,RCL,115.6336212,1221500
9956,2/9/18,RCL,117.5411682,2334500
9957,2/12/18,RCL,122.0739746,2081600
9958,2/13/18,RCL,121.8473358,1732200
9959,2/14/18,RCL,123.2638245,1538300
9960,2/15/18,RCL,124.3781586,993100
9961,2/16/18,RCL,124.3498154,1195700
9962,2/20/18,RCL,124.2364807,1155300
9963,2/21/18,RCL,123.2827148,1459900
9964,2/22/18,RCL,122.3856201,1652800
9965,2/23/18,RCL,122.9522095,1045200
9966,2/26/18,RCL,123.1410522,1058400
9967,2/27/18,RCL,121.6868057,1264900
9968,2/28/18,RCL,119.5526123,1836700
9969,3/1/18,RCL,117.0689926,1681400
9970,3/2/18,RCL,115.8036041,1898500
9971,3/5/18,RCL,114.6042862,1886800
9972,3/6/18,RCL,117.4893341,2536300
9973,3/7/18,RCL,117.2331009,1503900
9974,3/8/18,RCL,118.4193878,1824300
9975,3/9/18,RCL,120.165596,2276900
9976,3/12/18,RCL,118.8749161,1173300
9977,3/13/18,RCL,119.5297394,1145700
9978,3/14/18,RCL,119.2260513,1259800
9979,3/15/18,RCL,118.2960052,843500
9980,3/16/18,RCL,118.3909073,1262100
9981,3/19/18,RCL,118.0777283,959300
9982,3/20/18,RCL,118.4953003,1432400
9983,3/21/18,RCL,117.0812607,1069600
9984,3/22/18,RCL,114.0538635,1697000
9985,3/23/18,RCL,111.0739288,1607400
9986,3/26/18,RCL,113.8071213,1035700
9987,3/27/18,RCL,112.2696991,966100
9988,3/28/18,RCL,110.5899277,1199300
9989,3/29/18,RCL,111.7382431,1071900
9990,4/2/18,RCL,110.3336868,1228400
9991,4/3/18,RCL,109.7547836,875700
9992,4/4/18,RCL,110.8936081,1057800
9993,4/5/18,RCL,111.8141556,1918000
9994,4/6/18,RCL,108.9765778,1106300
9995,4/9/18,RCL,109.2612915,1143300
9996,4/10/18,RCL,107.1639404,2622300
9997,4/11/18,RCL,107.3917084,1560600
9998,4/12/18,RCL,108.8816833,1125400
9999,4/13/18,RCL,107.9421463,1136800
10000,4/16/18,RCL,109.8117218,1221600
10001,4/17/18,RCL,110.9979935,1521700
10002,4/18/18,RCL,112.2696991,1268400
10003,4/19/18,RCL,111.966011,1561800
10004,4/20/18,RCL,113.0194168,2333600
10005,4/23/18,RCL,113.607811,1596400
10006,4/24/18,RCL,111.2921906,1343500
10007,4/25/18,RCL,112.4500122,1594900
10008,4/26/18,RCL,107.173439,3166500
10009,4/27/18,RCL,106.1200104,3348700
10010,4/30/18,RCL,102.6750641,4778300
10011,5/1/18,RCL,103.9752121,3112900
